Name,Due Date,Priority,Status,URL,Description,Project,Created,Edited,Resources,Area,Daily Highlight,Energy,Goal,Notes,Parent Task,Sub-task,Contexts,Event
Nível 0 - Boas-vindas ao Explorer,"September 4, 2023",,Completed,,,Course Explorer (https://www.notion.so/Course-Explorer-3b616ff86e6b4f3fa0141a5c97e93889?pvs=21),"September 13, 2023 3:09 PM","September 13, 2023 3:32 PM",,,No,,,,,,,
Nível 1 - Land 01 - Início da missão,"September 4, 2023",,Completed,,,Course Explorer (https://www.notion.so/Course-Explorer-3b616ff86e6b4f3fa0141a5c97e93889?pvs=21),"September 13, 2023 3:09 PM","September 13, 2023 3:32 PM",,,No,,,,,,,
Nível 1 - Feedback,"September 4, 2023",,Completed,,,Course Explorer (https://www.notion.so/Course-Explorer-3b616ff86e6b4f3fa0141a5c97e93889?pvs=21),"September 13, 2023 3:15 PM","September 13, 2023 3:33 PM",,,No,,,,,,,
Nível 2 - Land 02 - Objetivos e Planejamento,"September 4, 2023",,Completed,,,Course Explorer (https://www.notion.so/Course-Explorer-3b616ff86e6b4f3fa0141a5c97e93889?pvs=21),"September 13, 2023 3:15 PM","September 20, 2023 11:18 AM",,,No,,,,,,,
Nivel 2 - Introdução ao HTML e CSS,"September 20, 2023",,Next Action,https://app.rocketseat.com.br/node/stage-02,,Course Explorer (https://www.notion.so/Course-Explorer-3b616ff86e6b4f3fa0141a5c97e93889?pvs=21),"September 13, 2023 3:17 PM","September 20, 2023 11:20 AM",,,Yes,,,,,,,
Nível 2 - Feedback,"September 20, 2023",,Next Action,,,Course Explorer (https://www.notion.so/Course-Explorer-3b616ff86e6b4f3fa0141a5c97e93889?pvs=21),"September 13, 2023 3:21 PM","September 20, 2023 11:20 AM",,,No,,,,,,,
"Nível 3 - Land 03 - Aprendizado, Estudos e Técnicas","September 20, 2023",,Next Action,,,Course Explorer (https://www.notion.so/Course-Explorer-3b616ff86e6b4f3fa0141a5c97e93889?pvs=21),"September 13, 2023 3:20 PM","September 20, 2023 11:12 AM",,,No,,,,,,,
Nível 3 - Stage 03 - Avançando no HTML e CSS,"September 22, 2023",,Next Action,,,Course Explorer (https://www.notion.so/Course-Explorer-3b616ff86e6b4f3fa0141a5c97e93889?pvs=21),"September 13, 2023 3:21 PM","September 20, 2023 11:20 AM",,,No,,,,,,,
Nível 3 - Feedback,"September 22, 2023",,Next Action,,,Course Explorer (https://www.notion.so/Course-Explorer-3b616ff86e6b4f3fa0141a5c97e93889?pvs=21),"September 13, 2023 3:21 PM","September 20, 2023 11:20 AM",,,No,,,,,,,
Nível 4 - Land 04 - Mentalidade,"September 22, 2023",,Next Action,,,Course Explorer (https://www.notion.so/Course-Explorer-3b616ff86e6b4f3fa0141a5c97e93889?pvs=21),"September 13, 2023 3:22 PM","September 20, 2023 11:20 AM",,,No,,,,,,,
